colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,profitable_fold_ratio,total_test_trades,total_test_profit_r,avg_r_per_trade,mean_test_ap,mean_test_wr,mean_score_std,mean_n_trees,median_threshold,elapsed_s
0.7,0.5,0.003,3,50,2.0,0.5,0.6666666666666666,908,28.5,0.03138766519823789,0.22789036090038609,0.21518678650345144,0.006083742977352813,30.0,0.4999,0.6
0.3,2.0,0.01,5,20,1.0,0.5,0.6666666666666666,784,28.0,0.03571428571428571,0.22203736407497074,0.22752534651008713,0.004785369460781415,6.333333333333333,0.4973,0.7
0.3,0.5,0.01,5,100,2.0,0.5,0.6666666666666666,700,27.5,0.039285714285714285,0.23305966610484105,0.21568667384325932,0.01041051916157206,28.0,0.4997,0.8
0.3,0.5,0.01,5,100,1.0,0.5,0.6666666666666666,651,27.0,0.041474654377880185,0.23277315471737933,0.21485588152254817,0.009902058790127436,26.333333333333332,0.4997,0.7
0.3,1.0,0.005,5,100,2.0,0.5,0.6666666666666666,742,26.5,0.03571428571428571,0.23427618159825112,0.2116205684543934,0.005565959455755849,28.333333333333332,0.4985,0.8
0.3,1.0,0.005,4,20,2.0,0.8,0.6666666666666666,596,24.5,0.041107382550335574,0.23379087026079456,0.2200840028282447,0.006994253451315065,532.0,0.5017,0.8
0.5,0.5,0.02,3,100,5.0,0.65,0.6666666666666666,882,24.0,0.027210884353741496,0.21820644646866158,0.21403528800858185,0.01100635202601552,11.333333333333334,0.495,0.6
0.3,0.5,0.005,4,50,5.0,0.8,0.6666666666666666,480,17.5,0.036458333333333336,0.22028448259348835,0.21424727284366196,0.008157503635933002,37.666666666666664,0.5018,0.8
0.5,1.0,0.02,3,50,2.0,0.65,0.6666666666666666,707,14.0,0.019801980198019802,0.2185049962953066,0.20909943173984866,0.012675380179037651,12.333333333333334,0.4991,0.5
0.5,0.5,0.02,3,50,2.0,0.5,0.6666666666666666,878,13.5,0.015375854214123007,0.22070318261501096,0.21516292120023772,0.03442389238625765,60.0,0.4904,0.7
0.5,0.5,0.02,3,20,2.0,0.65,0.3333333333333333,844,48.0,0.05687203791469194,0.23058431222248532,0.2195509422550239,0.010561823844909668,10.0,0.495,0.5
0.3,1.0,0.005,3,20,1.0,0.65,0.3333333333333333,899,43.0,0.047830923248053395,0.23135394914927976,0.22756400888016648,0.00251589921147873,508.0,0.499,0.5
0.7,1.0,0.01,5,100,5.0,0.5,0.3333333333333333,1001,39.5,0.039460539460539464,0.21767162101589607,0.2124773124773125,0.003350667810688416,4.0,0.4972,0.6
0.7,2.0,0.01,5,100,5.0,0.5,0.3333333333333333,1001,39.5,0.039460539460539464,0.21767162101589607,0.2124773124773125,0.003350667810688416,4.0,0.4972,0.6
0.7,2.0,0.003,5,50,2.0,0.8,0.3333333333333333,972,34.0,0.03497942386831276,0.21267565800464583,0.2148788608317601,0.004611736648560812,21.666666666666668,0.499,0.8
0.7,2.0,0.02,5,50,2.0,0.8,0.3333333333333333,1019,33.0,0.0323846908734053,0.22084963168098068,0.21209920985065844,0.00551831373013556,2.3333333333333335,0.4932,0.7
0.3,2.0,0.02,4,50,2.0,0.65,0.3333333333333333,941,32.0,0.03400637619553666,0.2161253628694009,0.2108861524514618,0.006878578569740057,5.333333333333333,0.4961,0.6
0.3,0.5,0.003,4,50,5.0,0.65,0.3333333333333333,1047,31.5,0.03008595988538682,0.21165562170097318,0.21094823564339196,0.0011666844366118312,6.333333333333333,0.4993,0.6
0.5,1.0,0.003,3,50,5.0,0.5,0.3333333333333333,943,28.5,0.030222693531283137,0.2219828391299733,0.22049983547588115,0.00883762800367549,562.3333333333334,0.4985,0.7
0.5,2.0,0.005,3,100,2.0,0.8,0.3333333333333333,806,24.5,0.030397022332506202,0.22523464216446662,0.21320877544570793,0.0036450668703764677,13.0,0.4997,0.5
0.5,0.5,0.01,4,100,5.0,0.8,0.3333333333333333,946,19.5,0.02061310782241015,0.22989573568968658,0.20812471124971124,0.012169158241401115,24.0,0.497,0.7
0.5,0.5,0.003,3,100,2.0,0.65,0.3333333333333333,679,18.0,0.026509572901325478,0.21114622258462398,0.20559526574740797,0.001159014878794551,6.333333333333333,0.4998,0.5
0.5,2.0,0.02,3,100,1.0,0.8,0.3333333333333333,931,14.5,0.015574650912996778,0.21885059021599354,0.2066177998648012,0.009332310718794664,7.666666666666667,0.4966,0.5
